[0, 0, 1, 0, 0, -1, -1, -1, -1, 3, 0]
[-2, -1, 0, -1, 0, 2, 6, 2, 5, -6, 4]
[0, 1, -2, 1, 0, 1, -2, 1, -3, 2, 2]
[4, 3, 6, -1, -8, -2, -2, -6, 5, 7, 1]
[4, 5, 3, 5, 3, -4, -3, -4, 2, 1, 0]
[0, 1, -2, 1, 3, 3, -1, 3, -2, -2, 2]
[8, -1, -2, 2, -5, -4, -7, -1, 9, 8, 3]
[-7, 4, 1, -2, 1, -8, -1, 4, 6, 1, 9]
[-3, -4, 1, -2, 1, 6, 4, -5, 7, -5, 9]
[0, -1, -1, -1, 1, -1, 1, -1, -2, 2, 3]
[-1, -3, -2, 3, -4, 3, -1, -2, 2, 2, 6]
[0, 1, -2, -1, 2, -1, -2, -3, 3, 3, 3]
[2, 1, 3, 1, -3, -2, 1, -2, 1, 2, 0]
[1, -1, 1, -1, 1, 2, -1, 2, -2, 0, 2]
[0, 1, -1, 1, 0, 0, 0, 0, -1, 0, 1]
[-1, -1, -2, -3, -2, -2, 3, 4, 2, -1, 7]
[-4, -5, -2, 1, 6, -2, 5, 4, 3, -7, 11]
[3, -2, 2, 1, -1, -2, -2, 1, 0, 2, 2]
[1, 2, 3, 2, -2, 1, 0, 1, 2, -2, 0]
[0, -1, -2, -2, 1, 3, 2, 0, 1, -3, 5]
[0, -1, 0, -1, 0, -1, 0, -1, -1, 0, 4]
[-1, 1, 0, -1, -1, 0, -1, 1, 0, 0, 3]
[-2, -2, -1, 3, -1, 3, -2, -1, 0, 1, 5]
[-1, 0, 0, -1, 1, 1, 1, 0, 0, -1, 2]
[1, 0, 1, -1, 0, 1, -1, 0, -1, 0, 2]
